Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal,Amend Reason,Amend Sol ID,If Amended,Sol ID
Scott D.,Brown,Apr-13,,"BAHR, KURT  - Representative",4/8/2013,"Meals, Food, & Beverage",Meal,$6.75 ,"MEDIMMUNE, INC.",,0,Not Amended,291
Mark J,Bruns,Apr-13,,"WALLINGFORD, WAYNE  - Senator",4/3/2013,"Meals, Food, & Beverage",Catering for visit from local school group.,$56.82 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS ,,0,Not Amended,297
Gary L.,Burton,Apr-13,,"FLANIGAN, TOM - Representative",4/17/2013,"Meals, Food, & Beverage",Catering for local school group visit.,$49.05 ,MISSOURI ASSOCIATION OF INSURANCE AGENTS ,,0,Not Amended,294
Gary L.,Burton,Apr-13,,"REIBOLDT, BILL  - Representative",4/23/2013,"Meals, Food, & Beverage",Meal for constituent group visit.  ,$321.54 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS,,0,Amended,295
Gary L.,Burton,Apr-13,,"REIBOLDT, BILL  - Representative",4/23/2013,"Meals, Food, & Beverage",NULL,($321.54),MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS,reimbursed expenditure,295,Amended,300
Neal,English,May-13,,"HINSON, DAVE - Representative",5/10/2013,"Meals, Food, & Beverage",,$88.29 ,MISSOURI ASSOCIATION OF CAREER FIRE PROTECTION DISTRICTS,New Entry,0,Not Amended,309
Andrew,Foley,Apr-13,,"MONTECILLO, GENISE  - Representative",4/9/2013,"Meals, Food, & Beverage",Catering for local school group visit.,$231.58 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS ,,0,Not Amended,298
James M.,Foley,Apr-13,,"WALSH, GINA  - Senator",4/2/2013,"Meals, Food, & Beverage",Catering for local school group visit.  ,$145.81 ,MISSOURI COUNCIL OF SCHOOL ADMINISTRATORS,,0,Not Amended,296
William A,Gamble,May-13,,"DAVIS, CHARLIE  - Representative",5/3/2013,Other,Sponsor Patriot Guard Rally,$552.50 ,SOUTHERN WINE AND SPIRITS,,0,Not Amended,302
William A,Gamble,May-13,,"DAVIS, CHARLIE  - Representative",5/3/2013,Other,Sponsor Patriot Guard Rally,$552.50 ,AMEREN  MISSOURI ,,0,Not Amended,302
William A,Gamble,May-13,,"GRISAMORE, JEFF - Representative",5/11/2013,Entertainment,Concert Tickets,$153.98 ,INDEPENDENT COLLEGES & UNIVERSITIES OF MISSOURI,,0,Not Amended,304
William A,Gamble,May-13,"GRISAMORE, JEFF - Representative",Micah Grisamore - Spouse or Child,5/11/2013,Entertainment,Concert Tickets ,$60.32 ,INDEPENDENT COLLEGES & UNIVERSITIES OF MISSOURI,,0,Not Amended,305
William A,Gamble,Jul-13,"EMERY, ED  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,Concert Tickets,$88.00 ,MISSOURI PHARMACY ASSOCIATION,,0,Amended,310
William A,Gamble,Jul-13,,"MCDONALD, TOM - Representative",7/30/2013,Entertainment,Concert Tickets,$43.25 ,MISSOURI DENTAL ASSOCIATION,,0,Not Amended,311
William A,Gamble,Jul-13,,"MCDONALD, TOM - Representative",7/30/2013,Entertainment,Concert Tickets,$43.25 ,MISSOURI RESIDENTIAL CARE ASSOCIATION ,,0,Not Amended,311
William A,Gamble,Jul-13,,"MCDONALD, TOM - Representative",7/30/2013,Entertainment,Concert Tickets,$43.25 ,MISSOURI PHARMACY ASSOCIATION,,0,Not Amended,311
William A,Gamble,Jul-13,,"MCDONALD, TOM - Representative",7/30/2013,Entertainment,Concert Tickets,$43.25 ,MISSOURI COLLEGE OF EMERGENCY PHYSICIANS,,0,Not Amended,311
William A,Gamble,Jul-13,,"LAFAVER, JEREMY  - Representative",7/20/2013,Entertainment,Concert Tickets,$51.25 ,MISSOURI PHARMACY ASSOCIATION,,0,Not Amended,312
William A,Gamble,Jul-13,,"LAFAVER, JEREMY  - Representative",7/20/2013,Entertainment,Concert Tickets,$51.25 ,MISSOURI RAILROAD ASSOCIATION,,0,Not Amended,312
William A,Gamble,Jul-13,"HOLSMAN, JASON  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,Concert Tickets,$88.00 ,AMERISTAR CASINO HOTEL KANSAS CITY INC,New Entry,0,Not Amended,314
William A,Gamble,Jul-13,"EMERY, ED  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,NULL,($88.00),AMERISTAR CASINO HOTEL KANSAS CITY INC,Entry error,310,Amended,313
William A,Gamble,Jul-13,"EMERY, ED  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,NULL,($88.00),MISSOURI PHARMACY ASSOCIATION,Entry error,310,Amended,313
William A,Gamble,Jul-13,"HOLSMAN, JASON  - Senator",Tom Hoppe - Employee or Staff,7/30/2013,Entertainment,Concert Tickets,$88.00 ,MISSOURI PHARMACY ASSOCIATION,New Entry,0,Not Amended,314
