Lob F Name,Lob L Name,Report,Group,Date,Type,Description,Cost,Principal,Amend Reason,Amend Grp ID,If Amended,Grp ID
Randall G,Allen,Jan-13,ENTIRE GENERAL ASSEMBLY,1/7/2013,"Meals, Food, & Beverage",Taste of Jefferson City Reception,"$7,083.69 ",JEFFERSON CITY AREA CHAMBER OF COMMERCE,NULL,0,Not Amended,5369
Dale,Amick,Jan-13,"APPROPRIATIONS - AGRICULTURE AND NATURAL RESOURCES, Standing",1/30/2013,"Meals, Food, & Beverage",Missouri State Capitol,$30.00 ,DALE AMICK & ASSOCIATES,NULL,0,Not Amended,5307
Dale,Amick,Jan-13,ENTIRE GENERAL ASSEMBLY,1/29/2013,"Meals, Food, & Beverage",Missouri State CApitol,$300.00 ,MISSOURI PORT AUTHORITY ASSOCIATION,NULL,0,Not Amended,5308
Dale,Amick,Jan-13,"AGRI-BUSINESS, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5345
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5346
Dale,Amick,Jan-13,"APPROPRIATIONS - AGRICULTURE AND NATURAL RESOURCES, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5347
Dale,Amick,Jan-13,"EMERGING ISSUES IN AGRICULTURE, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5348
Dale,Amick,Jan-13,"AGRICULTURE, FOOD PRODUCTION AND OUTDOOR RESOURCES - Assigned Bills",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION,NULL,0,Not Amended,5349
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",State Capitol,$292.00 ,DALE AMICK & ASSOCIATES,NULL,0,Amended,5350
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",NULL,($292.00),DALE AMICK & ASSOCIATES,wrong principal,5350,Amended,5351
